source,target,title,year,type
5335,2284,As Mortal Man,1947,undirected
2293,2383,At War With the Army,1948,undirected
2293,2341,At War With the Army,1948,undirected
2383,2341,At War With the Army,1948,undirected
2016,2297,Bachelor of Arts,1948,undirected
2016,5514,Bachelor of Arts,1948,undirected
2016,5693,Bachelor of Arts,1948,undirected
2016,2341,Bachelor of Arts,1948,undirected
2297,5514,Bachelor of Arts,1948,undirected
2297,5693,Bachelor of Arts,1948,undirected
2297,2341,Bachelor of Arts,1948,undirected
5514,5693,Bachelor of Arts,1948,undirected
5514,2341,Bachelor of Arts,1948,undirected
5693,2341,Bachelor of Arts,1948,undirected
4027,4031,Barchester Towers,1937,undirected
4027,4010,Barchester Towers,1937,undirected
4027,4011,Barchester Towers,1937,undirected
4027,4034,Barchester Towers,1937,undirected
4027,4034,Barchester Towers,1937,undirected
4027,2652,Barchester Towers,1937,undirected
4027,1638,Barchester Towers,1937,undirected
4027,4052,Barchester Towers,1937,undirected
4027,4053,Barchester Towers,1937,undirected
4027,2607,Barchester Towers,1937,undirected
4027,2669,Barchester Towers,1937,undirected
4031,4010,Barchester Towers,1937,undirected
4031,4011,Barchester Towers,1937,undirected
4031,4034,Barchester Towers,1937,undirected
4031,4034,Barchester Towers,1937,undirected
4031,2652,Barchester Towers,1937,undirected
4031,1638,Barchester Towers,1937,undirected
4031,4052,Barchester Towers,1937,undirected
4031,4053,Barchester Towers,1937,undirected
4031,2607,Barchester Towers,1937,undirected
4031,2669,Barchester Towers,1937,undirected
4010,4011,Barchester Towers,1937,undirected
4010,4034,Barchester Towers,1937,undirected
4010,4034,Barchester Towers,1937,undirected
4010,2652,Barchester Towers,1937,undirected
4010,1638,Barchester Towers,1937,undirected
4010,4052,Barchester Towers,1937,undirected
4010,4053,Barchester Towers,1937,undirected
4010,2607,Barchester Towers,1937,undirected
4010,2669,Barchester Towers,1937,undirected
4011,4034,Barchester Towers,1937,undirected
4011,4034,Barchester Towers,1937,undirected
4011,2652,Barchester Towers,1937,undirected
4011,1638,Barchester Towers,1937,undirected
4011,4052,Barchester Towers,1937,undirected
4011,4053,Barchester Towers,1937,undirected
4011,2607,Barchester Towers,1937,undirected
4011,2669,Barchester Towers,1937,undirected
4034,4034,Barchester Towers,1937,undirected
4034,2652,Barchester Towers,1937,undirected
4034,1638,Barchester Towers,1937,undirected
4034,4052,Barchester Towers,1937,undirected
4034,4053,Barchester Towers,1937,undirected
4034,2607,Barchester Towers,1937,undirected
4034,2669,Barchester Towers,1937,undirected
4034,2652,Barchester Towers,1937,undirected
4034,1638,Barchester Towers,1937,undirected
4034,4052,Barchester Towers,1937,undirected
4034,4053,Barchester Towers,1937,undirected
4034,2607,Barchester Towers,1937,undirected
4034,2669,Barchester Towers,1937,undirected
2652,1638,Barchester Towers,1937,undirected
2652,4052,Barchester Towers,1937,undirected
2652,4053,Barchester Towers,1937,undirected
2652,2607,Barchester Towers,1937,undirected
2652,2669,Barchester Towers,1937,undirected
1638,4052,Barchester Towers,1937,undirected
1638,4053,Barchester Towers,1937,undirected
1638,2607,Barchester Towers,1937,undirected
1638,2669,Barchester Towers,1937,undirected
4052,4053,Barchester Towers,1937,undirected
4052,2607,Barchester Towers,1937,undirected
4052,2669,Barchester Towers,1937,undirected
4053,2607,Barchester Towers,1937,undirected
4053,2669,Barchester Towers,1937,undirected
2607,2669,Barchester Towers,1937,undirected
2427,6730,Beethoven,1952,undirected
2427,2430,Beethoven,1952,undirected
2427,2431,Beethoven,1952,undirected
2427,2434,Beethoven,1952,undirected
2427,2435,Beethoven,1952,undirected
2427,2435,Beethoven,1952,undirected
2427,2498,Beethoven,1952,undirected
2427,6468,Beethoven,1952,undirected
2427,6211,Beethoven,1952,undirected
2427,6383,Beethoven,1952,undirected
2427,7432,Beethoven,1952,undirected
2427,7038,Beethoven,1952,undirected
2427,2458,Beethoven,1952,undirected
2427,7440,Beethoven,1952,undirected
2427,2512,Beethoven,1952,undirected
2427,2484,Beethoven,1952,undirected
2427,2515,Beethoven,1952,undirected
2427,7402,Beethoven,1952,undirected
6730,2430,Beethoven,1952,undirected
6730,2431,Beethoven,1952,undirected
6730,2434,Beethoven,1952,undirected
