id,label
1768,Mary P. Schenck
1773,Priscilla Langenbach
1776,Shirley Graham
1778,Solveig Wenzel
1789,Constance M. Conrad
1791,Daisy Pickman
1804,Elaine Schwartz
1806,Elizabeth Harris
1807,Elizabeth von Holstein
1808,Emily Nelson
1815,Grace Bailey
1822,Jane Hosford
1823,Jane P. Vosper
1828,Julia Harned
1829,Kathleen Cable Johnson
1834,Margaret Thomson
1835,Margaret Ting
1836,Marguerite Gurney
1839,Mary Jane Chiles
1840,Mary Jeffrey Welles
1842,Naomi Mattuck
1855,Sally Lindsay
1856,Sally-Ross Dinsmore
1859,Virginia H. Mealy
1861,Anna Cooke
1881,Dorothy Q. Holmes
1923,Lisa von Holstein
1926,Martha Wakefield
1938,Rae Dalven
1970,Anne Clark
1974,Betsy Stevens
1975,Betty Chiquet
1976,Betty Jean Hertz
1979,Elinor Cutler
1982,Elizabeth N. Gillelan
1983,Emma Lou Kehler
1990,Katherine Arthur
1991,Louise Lichtman
1992,Madeleine Thornton
1994,Marcia Unger
1995,Mary Shaw
1998,Natalie E. White
2003,Ruth Handel
2004,Ruth Lescher
2007,Sybil Bender
2008,Virginia Dorris
2013,Agnes Birney
2016,Betty Coe Armstrong
2025,Frances Kuntz
2039,Martha Van Kleeck
2041,Mildred Welti
2061,Barbara Cobell
2062,Barbara Holmstrom
2063,Barbara Shure
2065,Brenda Ericson
2067,Carmen Capalbo
2068,Catherine Hilderman
2069,Cecile Burg
2075,Doris Jones
2076,Dorothy Latta
2077,Elizabeth M. Birdsall
2079,Estelle Morrison
2098,Joan Feldman
2100,Joan Pollak
2112,Margaret Speer
2113,Marion Teter
2114,Mary Lou Williams
2116,Nina Sittler
2137,Sandy Comora
2142,Sarah A. Parham
2156,Ada Ward
2169,Edith Dallas Brody
2170,Eleanor Bailis
2176,Glory M. Cotting
2183,Hazel Woodhouse
2197,Joan Mattison
2202,Julia Kunze
2205,Margaret McDonough
2213,Martine Bartlett
2215,Marylyn Evans
2217,Nancy C. Graves
2220,Nina Gumpert
2227,Patricia Freeman
2228,Patricia Jacobs
2230,Phyllis Kaler
2231,Renice Telfair
2252,Ruth Rowe
2255,Virginia Grace
2256,Virginia Wilson
2261,Blanche Muldrow
2284,Sarah M. Sigler
2290,Alice Harmer
2292,Ann Saunders
2293,Anne Shropshire
2297,Catherine L. Martin
2301,Elaine Sherrill
2307,Eugenia Harper
2311,Helen Tapper
2319,Jeanne Burke
2325,Martha Richardson
2327,Mary Popovich
2333,Mollie Baxter
2338,Nyna Brael
2341,Olive Atkinson
2354,Robin Lacy
2356,Ruth Schell
2357,Sally Stubblefield
2359,Sarah Alden Parham
2361,Val Chao
2367,Alida Vanamee
2377,Jill Vieau
2383,Mary E. Forrest
2392,Aubrey L. Moore
2393,Beverly Wilson
